id,titlu,tip,data_start,data_end,an_start,an_end,secol,secol_n,locatie,zona_aprox,judet,regiune,lat,lng,participanti,descriere,rezultat,teritoriu,observatii,sursa
RM-011,Conflictele legate de coloniile grecești: distrugerea și refacerea Histriei,Conflict local / asediu,c. -500,c. -480,-500,-480,sec. V î.Hr.,-5,Histria (jud. Constanța),0,Constanța,Dobrogea,44.548,28.775,Histria (cetate greacă) vs. triburi de geți și sciți din hinterland,"Orașele-stat grecești (Histria, Tomis, Callatis) își apără teritoriul agricol prin războaie locale împotriva triburilor din hinterland, care organizau atacuri pentru pradă sau cereau tribut. Histria este parțial distrusă spre sfârșitul sec. VI sau începutul sec. V î.Hr., cel mai probabil în urma unui astfel de conflict, fiind ulterior reconstruită și fortificată masiv.",Distrugere parțială urmată de reconstrucție și fortificare,da,Datarea distrugerii este estimată pe baza arheologiei.,"batalii.csv — sec. V î.Hr., pct. 4"
RM-012,Prăbușirea stăpânirii persane la nord de Balcani și conflictele de eliberare,Răscoală / conflicte locale,c. -500,c. -480,-500,-480,sec. V î.Hr.,-5,Dobrogea și spațiul tracic de la nord de Balcani,1,—,Dobrogea,44.4,28.2,Geți și sciți vs. garnizoane persane rămase în Tracia,"După campania din 513 î.Hr., regiunea rămâne sub o relativă influență sau supraveghere persană. Odată cu înfrângerile perșilor în Grecia (Războaiele Persane), stăpânirea lor la nord de Balcani se prăbușește, declanșând conflicte locale de eliberare și reașezări de forțe între geți, sciți și garnizoanele persane.",Retragerea influenței persane; reconfigurare locală de putere,da,Fără bătălii nominale; datare aproximativă.,"batalii.csv — sec. V î.Hr., pct. 1"
RM-013,Invaziile scitice în Moldova și estul Transilvaniei,Incursiuni de jaf,c. -500,c. -401,-500,-401,sec. V î.Hr.,-5,Moldova și estul Transilvaniei,1,—,Moldova / Transilvania (est),46.5,26.5,Sciți nomazi vs. geți sedentari,"Arheologia confirmă conflicte locale violente: vârfuri de săgeți scitice cu trei muchii, specifice sec. V î.Hr., descoperite în așezări autohtone din Moldova și estul Transilvaniei, demonstrează incursiuni militare de jaf și confruntări sângeroase între geți și sciți.",Raiduri și devastări; apărare locală fragmentată,da,"Eveniment tip, în baza dovezilor arheologice.","batalii.csv — sec. V î.Hr., pct. 3"
RM-014,Conflictele de frontieră dintre geți și Regatul Odris,Războaie de expansiune,c. -480,c. -430,-480,-430,sec. V î.Hr.,-5,Dobrogea (dreapta Dunării) și stânga Dunării,1,—,Dobrogea,44.3,28.0,Regatul Odris (Teres I) vs. triburi getice din Dobrogea,"Regele odris Teres I unifică triburile trace din sud și extinde regatul spre nord, până la Dunăre, ceea ce duce la ciocniri militare inevitabile cu geții din Dobrogea. Conflictele se stabilizează printr-o formă de suzeranitate: geții sunt integrați parțial în sfera odrisă, plătesc tribut și devin aliați militari (arcași călare).",Suzeranitate odrisă asupra geților dobrogeni,da,Zonă aproximativă.,"batalii.csv — sec. V î.Hr., pct. 2"
RM-015,Conflictul odriso-scitic de la Dunăre (Scyles vs. Sitalces),Conflict de frontieră,c. -450,c. -450,-450,-450,sec. V î.Hr.,-5,Dunărea de Jos (limesul fluvial),1,—,Dobrogea,45.2,28.5,Sciți (regele Scyles) vs. Regatul Odris (regele Sitalces),"Expansiunea sciților conduși de Scyles spre Dunăre provoacă un conflict militar direct cu Regatul Odris al lui Sitalces. Războiul deschis este evitat prin intermediul unei alianțe matrimoniale și stabilirea graniței pe Dunăre, dar tensiunile armate de frontieră rămân constante.",Evitarea războiului deschis; graniță pe Dunăre; tensiuni persistente,da,Datare aproximativă (c. 450 î.Hr.).,"batalii.csv — sec. V î.Hr., pct. 3"
RM-016,Expediția lui Alexandru cel Mare la nord de Dunăre,Campanie / expediție,-335,-335,-335,-335,sec. IV î.Hr.,-4,Zona Zimnicea — malul nordic al Dunării (jud. Teleorman),1,Teleorman,Muntenia (sud),43.655,25.367,Regatul Macedoniei (Alexandru cel Mare) vs. geți,"În primăvara anului 335 î.Hr., Alexandru cel Mare pornește o campanie în Balcani pentru a pacifica triburile răzvrătite; urmărindu-i pe tribali până la Dunăre (probabil în zona Zimnicea), este întâmpinat pe malul nordic de o oaste getică de circa 14.000 de luptători. Alexandru trece fluviul noaptea cu bărci improvizate (monoxile) și burdufuri, surprinde oastea getică, care se retrage, și îi distruge o așezare fortificată.",Victorie macedoneană și pradă; consolidarea autorității lui Alexandru,da,Localizarea exactă a trecerii este probabilă (zona Zimnicea).,"batalii.csv — sec. IV î.Hr., pct. 1"
RM-017,Dezastrul expediției lui Zopyrion,Campanie / înfrângere,c. -331,c. -325,-331,-325,sec. IV î.Hr.,-4,Gurile Dunării și Dobrogea (retragerea),1,Tulcea / Constanța,Dobrogea,45.1,28.8,"Regatul Macedoniei (Zopyrion, ~30.000 de soldați) vs. coaliție de geți și sciți","În timp ce Alexandru era în Asia, guvernatorul Traciei, Zopyrion, organizează o expediție spre nordul Mării Negre; după asediul eșuat al cetății Olbia, armata se retrage haotic prin teritoriile de la gurile Dunării și Dobrogea, unde este blocată de o furtună. Profitând de vulnerabilitate, geții și sciții atacă și nimicesc complet armata macedoneană, iar Zopyrion este ucis.",Anihilarea armatei macedonene; victorie a coaliției locale,da,Datare aproximativă (c. 331–325 î.Hr.); locul uciderii nu este precis.,"batalii.csv — sec. IV î.Hr., pct. 2"
RM-018,Începutul războaielor dintre Lysimah și Dromichaetes,Război / campanie,c. -320,c. -292,-320,-292,sec. IV–III î.Hr.,-4,Câmpia Română (teritoriile getice),1,—,Muntenia / Oltenia,44.6,25.5,Regatul Macedoniei/Tracia (Lysimah) vs. Regatul getic (Dromichaetes),"După moartea lui Alexandru cel Mare, generalul Lysimah preia Tracia și încearcă să-și extindă stăpânirea la nord de Dunăre. Geții lui Dromichaetes aplică tactica pământului pârjolit și hărțuirea continuă; slăbite de foame și sete, armatele macedonene suferă înfrângeri repetate. Conflictul culminează în jurul anului 292 î.Hr. cu capturarea lui Lysimah și o pace celebră.",Victoria diplomatică și militară a geților; păcii i-au succedat retrocedarea cetăților dunărene,da,Evenimentul este reluat și mai detaliat la sec. III î.Hr.,"batalii.csv — sec. IV î.Hr., pct. 3"
RM-019,Pătrunderea triburilor celtice în Transilvania,Invazie / migrație armată,c. -320,c. -280,-320,-280,sec. IV–III î.Hr.,-4,Transilvania și Oltenia,1,—,Transilvania / Oltenia,46.2,24.0,Triburi celtice (printre care scordiscii) vs. comunități geto-dace,"Triburile celtice migrează masiv spre interiorul Arcului Carpatic și Balcani; intrarea lor în Transilvania și Oltenia nu a fost pașnică, arheologia indicând conflicte violente cu comunitățile autohtone pentru controlul resurselor de sare și metale. După faza inițială de confruntări, cele două populații ajung la coabitare, celții fiind asimilați treptat.",Conflicte inițiale urmate de coabitare și asimilare,da,"Zonă aproximativă, fără bătălii nominale.","batalii.csv — sec. IV î.Hr., pct. 4"
RM-020,Campania lui Agatocle împotriva geților (prima campanie a lui Lysimah),Campanie,-300,-300,-300,-300,sec. III î.Hr.,-3,Câmpia din sudul României (Muntenia / Dobrogea),1,—,Muntenia / Dobrogea,44.5,26.5,"Regatul Macedoniei/Tracia (Agatocle, fiul lui Lysimah) vs. Regatul getic (Dromichaetes)","Lysimah trimite peste Dunăre o armată condusă de fiul său Agatocle pentru a supune geții. Armata lui Dromichaetes obține o victorie totală, iar Agatocle este luat prizonier, răscumpărat ulterior.",Victorie getică totală; Agatocle prizonier,da,Localizarea exactă a confruntării nu este cunoscută.,"batalii.csv — sec. III î.Hr., pct. 1"
RM-021,Bătălia de la Helis și capturarea lui Lysimah,Bătălie / campanie,-292,-292,-292,-292,sec. III î.Hr.,-3,Stepele dobrogene sau muntene (cetatea getică Helis),1,—,Dobrogea / Muntenia,44.7,27.2,Regatul getic (Dromichaetes) vs. Regatul Macedoniei/Tracia (Lysimah),"Lysimah conduce personal o expediție uriașă la nord de Dunăre, dar armata macedoneană este încercuită în stepele dobrogene sau muntene din lipsă de apă și hrană. Lysimah este capturat și dus la cetatea getică Helis; conflictul se încheie cu un tratat de pace celebru, prin care Dromichaetes îi redă libertatea macedoneanului în schimbul retrocedării cetăților dunărene.",Pace în care Dromichaetes își impune condițiile; retrocedarea cetăților dunărene,da,Datare cca. 292 î.Hr.; locația Helis este disputată.,"batalii.csv — sec. III î.Hr., pct. 1"
RM-022,Invazia și conflictele cu celții (galații),Invazie / războaie de uzură,c. -280,c. -250,-280,-250,sec. III î.Hr.,-3,"Transilvania, Oltenia și Banat",1,—,Transilvania / Oltenia / Banat,45.9,22.8,"Celți (scordisci, taurisci, anarți) vs. daci și geți locali","Triburile celtice migrează masiv spre Balcani, stabilindu-se și pe teritoriul României. În Transilvania se ciocnesc cu comunitățile dacice, cucerind parțial podișul, dar dacii rezistă în zonele montane, generând un conflict de uzură de decenii. În Oltenia și Banat, scordiscii poartă lupte grele cu geții din zonele de câmpie pentru controlul Dunării.",Coabitare ulterioară; celții păstrează controlul parțial al podișului,da,Fără bătălii nominale; zonele sunt aproximative.,"batalii.csv — sec. III î.Hr., pct. 2"
RM-023,Războiul pentru Tomis (Histria și Callatis vs. Byzantion),Război / conflict comercial,c. -260,c. -260,-260,-260,sec. III î.Hr.,-3,"Tomis (Constanța), litoralul Mării Negre",0,Constanța,Dobrogea,44.17,28.65,Cetățile Callatis și Histria vs. Byzantion (sprijinit de flota ptolemeică a Egiptului),Cetățile Callatis (Mangalia) și Histria se aliază și intră în conflict cu Byzantionul pentru controlul emporiului (pieței comerciale) de la Tomis. Histria și Callatis sunt înfrânte în urma intervenției flotei regelui ptolemeic din Egipt.,Înfrângerea alianței Histria–Callatis; controlul bizantin/egiptean asupra emporiului,da,Datarea (c. 260 î.Hr.) este aproximativă.,"batalii.csv — sec. III î.Hr., pct. 3"
RM-024,Protectoratele militare ale regilor geți asupra cetăților grecești,Presiune militară / tribut,c. -260,c. -201,-260,-201,sec. III î.Hr.,-3,"Cetățile grecești din Dobrogea (Histria, Tomis, Callatis)",1,Constanța,Dobrogea,44.0,28.5,"Regi geți (Zalmodegikos, Rhemaxos) vs. cetăți grecești pontice","Regii geți din Dobrogea impun protectorate militare cetăților grecești, oferindu-le „apărare” împotriva altor barbari în schimbul unor sume de bani (tribut), acțiuni dublate adesea de demonstrații de forță militară.",Suzeranitate getică de facto asupra cetăților grecești (tribut),da,"Eveniment tip, fără bătălii nominale.","batalii.csv — sec. III î.Hr., pct. 3"
RM-025,Conflictele cu bastarnii,Invazie / conflicte teritoriale,c. -220,c. -201,-220,-201,sec. III î.Hr.,-3,Nordul Moldovei și Câmpia Română,1,—,Moldova / Muntenia,46.6,26.0,Bastarni (populație germanică sau celto-germanică) vs. triburi geto-dace,"Spre sfârșitul secolului III î.Hr., bastarnii pătrund în nordul Moldovei și în Câmpia Română, intrând imediat în conflicte teritoriale sângeroase cu triburile geto-dace locale, pe care le împing treptat spre sud și vest.",Deplasarea spre sud-vest a triburilor geto-dace,da,Eveniment tip; zona aproximativă.,"batalii.csv — sec. III î.Hr., pct. 4"
RM-026,Războaiele regelui Oroles împotriva bastarnilor,Război / campanie,c. -200,c. -150,-200,-150,sec. II î.Hr.,-2,Moldova (estul și nord-estul teritoriului actual),1,—,Moldova,47.0,27.0,Regatul geto-dac (regele Oroles) vs. bastarni,"Bastarnii migrează din nord și pătrund în estul și nord-estul teritoriului actual (zona Moldovei). Regele geto-dac Oroles se izbește militar de invadatori: potrivit lui Trogus Pompeius, dacii sunt învinși într-o primă fază, apoi, după ce regele îi pedepsește simbolic pe războinici, îi înving pe bastarni într-o bătălie decisivă.",Respigerea bastarnilor și stabilizarea graniței de est,da,Datare convențională (începutul sec. II î.Hr.).,"batalii.csv — sec. II î.Hr., pct. 1"
RM-027,Incursiunile scordiscilor în Câmpia Română și Dobrogea,Incursiuni de jaf / conflicte de frontieră,c. -200,c. -101,-200,-101,sec. II î.Hr.,-2,"Câmpia Română, Dunărea de Jos și cetățile grecești pontice",1,—,Muntenia / Dobrogea,44.3,26.8,"Scordisci (trib celtic, zona Belgradului) vs. geți și cetăți grecești pontice",Scordiscii atacă frecvent triburile de geți de-a lungul Dunării și cetățile grecești pontice. Geții sunt implicați constant în ciocniri de apărare și hărțuieli de frontieră pentru a-și proteja așezările fortificate (davele).,Conflicte de uzură și jaf; menținerea controlului local asupra trecătorilor Dunării,da,Eveniment tip; zona aproximativă.,"batalii.csv — sec. II î.Hr., pct. 3"
RM-028,Campaniile lui Rubobostes împotriva celților,Războaie / campanii,c. -170,c. -120,-170,-120,sec. II î.Hr.,-2,Transilvania (vestul și nord-vestul României),1,—,Transilvania,46.5,23.5,"Uniunea de triburi dacă (Rubobostes) vs. triburi celtice (scordisci, taurisci)","În prima jumătate a secolului II î.Hr., vestul și nord-vestul României se aflau parțial sub influența triburilor celtice. Uniunea de triburi condusă de regele dac Rubobostes declanșează o serie de războaie împotriva celților; succesul militar oprește expansiunea celtică și crește puterea dacilor în Transilvania, fiind considerat un precursor al unificării lui Burebista.",Înfrângerea celților; afirmarea puterii dacice în Transilvania,da,Datare aproximativă pe baza contextului arheologic.,"batalii.csv — sec. II î.Hr., pct. 2"
RM-029,Războiul lui Burebista împotriva celților (boii și tauriscii),Război / campanie,c. -60,c. -59,-60,-59,sec. I î.Hr.,-1,Vestul și nord-vestul teritoriului dacic (zona Tisei și vestul României),1,—,Banat / Crișana / Transilvania (vest),45.9,21.3,"Regatul geto-dac (Burebista) vs. confederații celtice (boii, tauriscii)","În jurul anilor 60–59 î.Hr., Burebista atacă și zdrobește confederațiile celtice din vestul și nord-vestul teritoriului dacic. Celții sunt atât de crunt învinși încât teritoriul lor rămâne cunoscut în epocă drept „pustiul boic”.",Victorie dacică decisivă; dispariția puterii celtice din regiune,da,Datare aproximativă (c. 60–59 î.Hr.).,"batalii.csv — sec. I î.Hr., pct. 1"
RM-030,Campania lui Burebista împotriva bastarnilor și sciților,Campanie,c. -60,c. -44,-60,-44,sec. I î.Hr.,-1,Estul României (Moldova) și peste Prut,1,—,Moldova,47.2,28.0,Regatul geto-dac (Burebista) vs. bastarni (germanici) și sciți (iranieni),"Burebista duce lupte în estul României (Moldova) și peste Prut pentru a securiza granița estică împotriva bastarnilor și sciților, populații germanice și iraniene.",Securizarea graniței estice a regatului dacic,da,Zonă aproximativă; fără bătălii nominale în sursă.,"batalii.csv — sec. I î.Hr., pct. 1"
RM-031,Cucerirea orașelor grecești pontice de către Burebista,Campanie / cucerire,c. -55,c. -48,-55,-48,sec. I î.Hr.,-1,"Dobrogea: Histria, Tomis (Constanța), Callatis (Mangalia), până la Apollonia",0,Constanța,Dobrogea,44.1,28.5,Regatul geto-dac (Burebista) vs. cetăți grecești pontice (sub influența Romei),"Burebista pornește o campanie fulgerătoare prin Dobrogea, asediind și cucerind rând pe rând coloniile grecești aliate sau aflate sub influența Romei: Histria, Tomis, Callatis, până la Apollonia. Histria este parțial distrusă în urma acestui conflict.",Cucerirea cetăților grecești pontice; extinderea hegemoniei dacice,da,Datare aproximativă (55–48 î.Hr.).,"batalii.csv — sec. I î.Hr., pct. 1"
RM-032,Implicarea lui Burebista în Războiul Civil Roman (context — nu pe teritoriul României),Implicare diplomatică / militară indirectă,-48,-48,-48,-48,sec. I î.Hr.,-1,"În afara teritoriului actual al României (context: Pharsalus, Grecia)",1,—,—,39.3,22.4,"Regatul geto-dac (Burebista, sprijin promis lui Pompei) vs. Iulius Caesar (Republica Romană)","În timpul războiului civil dintre Iulius Caesar și Pompei, Burebista îl sprijină pe Pompei, trimițând promisiuni de ajutor militar prin diplomatul Acornion din Dionysopolis. Pompei este învins la Pharsalus (48 î.Hr.), iar Caesar planifică o campanie de răzbunare și cucerire a Daciei, dar conflictul direct nu mai are loc pentru că ambii lideri sunt asasinați în anul 44 î.Hr.",Nu a avut loc o confruntare pe teritoriul României; planul roman de cucerire este abandonat,nu,Inclus pentru contextul istoric complet; nu este un conflict pe teritoriul actual al României.,"batalii.csv — sec. I î.Hr., pct. 2"
RM-033,Războaiele interne de succesiune după moartea lui Burebista,Război civil / fragmentare,-44,c. -30,-44,-30,sec. I î.Hr.,-1,Teritoriul regatului dacic (fără localizare precisă),1,—,Geto-Dacia,45.5,25.0,"Regate dace rivale (regi-preoți ca Deceneu și Comosicus, lideri locali ca Dicames, Cotiso, Roles)","După asasinarea lui Burebista în 44 î.Hr., statul dac se destramă inițial în patru, apoi în cinci regate mai mici. Perioada este marcată de războaie interne de succesiune între diversele formațiuni statale dace, slăbind puterea centralizată.",Fragmentarea regatului dac; slăbirea militară și politică,da,Zonă aproximativă; fără bătălii nominale.,"batalii.csv — sec. I î.Hr., pct. 3"
RM-034,Incursiunile dacilor transdanubieni în Moesia,Incursiuni de jaf / expediții de represalii,c. -30,c. -10,-30,-10,sec. I î.Hr.,-1,Dunărea de Jos (sudul Olteniei și Munteniei) și Moesia (sud de Dunăre),1,—,Oltenia / Muntenia,44.2,24.5,Daci din interiorul arcului carpatic (uneori sub regele Cotiso) vs. Republica Romană (provincia Moesia),"Spre sfârșitul secolului I î.Hr., iarna, când Dunărea îngheață, triburile dace din interiorul arcului carpatic trec fluviul ca să prade provinciile romane din Balcani (Moesia), generând expediții romane de represalii pe teritoriul actual al Olteniei și Munteniei.",Raiduri și represalii recurente; frontiera dunăreană rămâne tensionată,da,Eveniment tip; zona aproximativă.,"batalii.csv — sec. I î.Hr., pct. 4"
RM-035,Războiul lui Marcus Licinius Crassus în Dobrogea,Război / campanie,-29,-28,-29,-28,sec. I î.Hr.,-1,Dobrogea (cetățile lui Dapyx și Zyraxes — Genucla),1,Constanța / Tulcea,Dobrogea,44.4,28.2,Republica Romană (Crassus) și geții lui Roles vs. geții lui Dapyx și Zyraxes,"Generalul roman Crassus (nepotul triumvirului) intervine la Dunăre în sprijinul regelui get Roles, aflat în conflict cu Dapyx, alt șef get. Romanii asediază cetatea lui Dapyx și cuceresc ulterior și cetatea regelui Zyraxes (Genucla).",Dobrogea intră sub controlul indirect al Romei,da,Localizarea cetăților este aproximativă.,"batalii.csv — sec. I î.Hr., pct. 4"
RM-036,Campania lui Sextus Aelius Catus la nord de Dunăre,Expediție punitivă / deportare,c. 11,c. 12,11,12,sec. I d.Hr.,1,Nord de Dunăre (sudul Munteniei / Dobrogea) — fără localizare precisă,1,—,Muntenia / Dobrogea,44.3,26.5,Imperiul Roman (Sextus Aelius Catus) vs. geți (uniuni de triburi),"După destrămarea regatului lui Burebista, dacii erau divizați și atacau frecvent provincia Moesia. Generalul roman Sextus Aelius Catus conduce o expediție de pedepsire la nord de Dunăre și strămută forțat circa 50.000 de geți în sudul fluviului, pentru a-i aduce sub control roman și a depopula zona folosită ca bază de atac.",Depopulare parțială a zonei de nord a Dunării și întărirea frontierei romane,da,Datare aproximativă (c. 11–12 d.Hr.).,"batalii.csv — sec. I d.Hr., pct. 1"
RM-037,Campania lui Plautius Silvanus Aelianus peste Dunăre,Expediție / pacificare,c. 57,c. 67,57,67,sec. I d.Hr.,1,"Nord de Dunăre (Muntenia, zona gurilor Dunării)",1,—,Muntenia / Dobrogea,44.5,27.5,"Imperiul Roman (Plautius Silvanus Aelianus) vs. sarmați, bastarni și daci","În timpul lui Nero, guvernatorul Moesiei, Plautius Silvanus Aelianus, intervine militar la nord de Dunăre din cauza mișcărilor de populații barbare. Pacifică regiunea și strămută peste 100.000 de transdanubieni (daci, bastarni, sarmați) la sud de fluviu, obligându-i să plătească tribut Romei.",Pacifiere temporară a frontierei dunărene; tribut roman,da,Datare aproximativă; zona fără localizare precisă.,"batalii.csv — sec. I d.Hr., pct. 2"
RM-038,Războiul daco-roman al lui Domițian — atacul dacic din 85–86,Război / invazie,85,86,85,86,sec. I d.Hr.,1,"Dunărea de Jos, Moesia (Dobrogea de astăzi)",1,Constanța / Tulcea,Dobrogea,44.3,28.0,"Regatul Dac (Duras, apoi Decebal) vs. Imperiul Roman (Moesia)","Dacii trec iarna Dunărea înghețată, devastează Moesia și îl ucid pe guvernatorul Oppius Sabinus. Este cel mai mare conflict al secolului I pe teritoriul României, declanșat de regele dac Duras și continuat sub Decebal.",Devastarea Moesiei; represalii romane ulterioare,da,—,"batalii.csv — sec. I d.Hr., pct. 3"
